"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9"
"Acidimicrobiia",1035,1522,1291,503,527,736,1007,634,724,966,581,530,507,399,469,312,801,398,468,48,62,308,327,843,557,844
"Acidobacteriae",1505,6149,6684,1348,1201,1904,1872,1830,1736,2371,2443,1089,2171,1324,2223,2020,2223,0,0,0,0,0,5,1980,1517,1669
"Actinobacteria",7596,452,222,144,295,164,516,529,488,415,378,1905,321,62,108,55,119,11237,10737,11913,4350,5239,5546,256,383,359
"Alphaproteobacteria",4700,6795,6491,3040,3140,3777,3719,2723,4081,4140,2715,2514,2585,3406,3077,2128,4581,1546,1493,378,333,789,1107,3536,3273,3336
"Anaerolineae",1389,1817,1290,617,613,1059,1072,932,1070,1050,882,550,912,590,923,809,1416,21,16,0,0,7,0,653,614,1033
"Armatimonadia",162,133,0,0,23,93,37,14,189,201,63,121,74,25,31,34,22,24,31,0,0,0,0,60,31,116
"Babeliae",0,8,22,14,0,0,64,38,0,0,29,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacilli",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,40,0,0,0,37,64,0,0,0
"Bacteroidia",2242,2065,2698,437,584,312,833,778,697,670,474,968,297,451,461,578,634,861,815,6220,1860,1533,1614,482,640,569
"Bdellovibrionia",0,0,0,0,0,0,0,6,0,0,5,7,9,0,0,5,0,0,6,0,0,5,7,0,0,0
"Blastocatellia",1955,1077,1212,1056,664,695,744,511,280,192,417,393,547,848,1229,1038,718,0,0,0,0,0,0,871,652,760
"Chlamydiae",27,76,137,195,231,174,197,99,120,46,190,25,57,206,164,139,237,78,119,0,0,39,61,120,202,175
"Chloroflexia",751,679,910,0,250,230,310,308,259,0,505,144,223,0,441,469,262,20,17,0,0,15,20,209,196,282
"Chthonomonadetes",345,141,67,84,137,187,168,127,120,193,122,361,130,232,171,151,239,0,0,0,0,0,0,360,255,219
"Clostridia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,35,0,5,62,97,0,0,0
"Coriobacteriia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"Cyanobacteriia",11,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,347,447,21,16,385,114,0,0,0
"Dehalococcoidia",33,172,130,9,106,136,22,130,19,38,39,58,42,125,128,89,107,0,0,0,0,0,0,119,99,119
"Deinococci",139,806,404,0,42,0,340,152,0,245,6,96,0,0,0,0,122,0,0,0,0,0,0,154,166,184
"Desulfobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0
"Desulfuromonadia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Fimbriimonadia",36,13,0,5,6,0,0,17,102,90,15,54,27,6,0,5,0,0,0,0,0,0,0,0,5,13
"Gammaproteobacteria",7176,6232,5922,2054,1853,1945,2094,2185,2660,2522,1976,2946,2070,2251,1606,1673,2405,8415,7807,15997,8917,4010,5890,2389,2098,1646
"Gemmatimonadetes",78,212,170,75,94,102,102,20,74,30,51,71,31,110,144,109,121,26,19,0,0,18,7,73,110,126
"Holophagae",46,44,19,21,20,30,38,39,6,14,22,26,50,19,21,15,19,0,6,0,0,0,0,25,21,38
"JG30-KF-CM66",83,263,182,123,272,108,224,265,53,54,235,25,205,255,80,77,178,0,0,0,0,0,0,285,130,243
"Kapabacteria",332,83,106,117,159,150,186,158,119,75,0,119,0,90,77,68,168,2,5,0,0,0,0,105,163,100
"KD4-96",35,58,33,66,53,98,125,5,24,5,13,35,11,31,60,27,24,28,22,0,0,6,38,96,90,103
"Latescibacterota",0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Limnochordia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0
"Margulisbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Methanomicrobia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Myxococcia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Nanoarchaeia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"NB1-j",0,0,0,5,0,0,6,0,0,0,18,0,17,11,5,9,8,0,0,0,0,0,0,13,12,7
"Negativicutes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Nitrospiria",305,2293,2676,206,420,454,427,312,231,239,353,199,345,214,674,784,693,9,13,0,0,0,0,689,345,320
"OLB14",576,856,877,246,230,197,239,270,44,127,134,153,158,341,722,598,327,0,6,0,0,0,0,188,256,157
"Oligoflexia",76,0,0,0,0,0,7,10,17,32,18,43,0,0,0,0,0,77,37,146,104,5,7,0,5,0
"OM190",24,57,55,78,102,109,152,113,36,0,5,11,37,103,90,55,89,0,0,0,0,0,0,165,89,10
"Parcubacteria",10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,94,32,23,8,0,0,0
"Phycisphaerae",11,38,37,27,35,18,35,44,81,68,57,5,48,21,25,36,30,0,0,0,0,0,0,31,54,29
"Planctomycetes",4568,2332,1626,1489,2268,2080,2788,1831,2122,2416,1525,1975,1796,1860,1328,1387,2130,685,848,40,62,228,392,2699,2324,3108
"Polyangia",15,58,51,29,38,37,27,41,75,36,139,28,63,33,57,14,28,0,0,0,0,0,5,34,58,25
